FM Lung,FM Lymph,FM Uterine,FM Mammary,MM Lung,MR MCL1,MR Testes1,MR Brain1,MR MCL2,MR Testes2,MR Brain2,FR MCL,FR Brain
17018,22529,54279,17066,10768,Inf,22766,Inf,26234,44762,55748,7208,Inf
17133,22825,56055,17611,11028,Inf,23119,Inf,27470,46592,56993,7406,Inf
17257,23154,57941,18227,11319,Inf,23510,Inf,28910,48678,58367,7627,Inf
17386,23516,59949,18933,11646,Inf,23940,Inf,30613,51107,59898,7874,Inf
17529,23929,62132,19757,12021,Inf,24410,Inf,32663,53965,61629,8153,Inf
17693,24397,64591,20738,12456,Inf,24947,Inf,35197,57421,63613,8471,Inf
17873,24945,67339,21937,12973,Inf,25571,Inf,38444,61709,65934,8841,Inf
18078,25602,70864,23457,13603,Inf,26303,Inf,42821,67258,68712,9277,Inf
18328,26415,75567,25484,14401,Inf,27190,Inf,49115,74780,72156,9805,Inf
18620,27471,Inf,28390,15470,Inf,28316,Inf,59200,Inf,76624,10465,Inf
19007,28958,Inf,33095,17022,Inf,29841,Inf,78785,Inf,Inf,11329,Inf
19553,31355,Inf,Inf,19648,Inf,32154,Inf,Inf,Inf,Inf,12548,Inf
20508,36702,Inf,Inf,25994,Inf,36674,Inf,Inf,Inf,Inf,14558,Inf
